Query,Outputs,Correct,Comments
Imran battery aur inverter,"V-Guard 205 Ah Tubular Inverter Battery White (VT 220), OKAYA 210 Ah Tubular Inverter Battery White (OPTT24048) , Luminous 220 Ah Tall Tubular Inverter Battery White (REMI ILTT26066), Livguard IT1048St 100 Ah Tubular Inverter Battery (Black), Livfast Tubular Inverter Battery Orange (LFDLN1AAR1130FF), Amaze Tubular 700VA Inverter Battery White (F1147R825150 2060TT), Advon 220 Ah Tubular Inverter Battery White (IT-2250), Genus 1000VA 1450 CHALLENGER 12V C Pure Sine Wave Inverter (White), Moseta Ironman Solar Hybrid 1700 VA/150 Ah Inverter, UTL Tubular 5500VA Black (TQ 3548)",,
Pikap Lena,"SIGMA AF 24-70mm F/2.8 DG DN II (A) / SONY E Mount Lens (Black), FUJIFILM X-A10 Mirrorless Digital Camera With 16-50mm Lens Black(F X-A10S), Nikon D3500 24.2 MP DSLR Camera with AF-P DX Nikkor 18-55 mm F/3.5-5.6G VR Lens (Black), Canon EF-M 55-200mm f4.5-6.3 Lens For Camera (Black), Sony FE 24MM F1.4 GM E-MOUNT LENS Black (SEL24F14GM SYX), Panasonic 45 mm Prime Lens Black (H-ES045E), Samyang AF 85 mm F1.4 Canon EF Auto Focus Standard Lens (Black), Tamron F050SF 20mm F/2.8 Di III OSD M1:2 WideAngle Prime Lens (Black), Olympus Lence 25 mm f1.8 Wide-Angle Zoom Lens (Black), Viltrox AF 35 mm F/1.8 F1.8 E Auto Focus Full Frame Wide Angle Lens (Black)",,
simran battery aur inverter,"V-Guard 205 Ah Tubular Inverter Battery White (VT 220), OKAYA 210 Ah Tubular Inverter Battery White (OPTT24048) , Luminous 220 Ah Tall Tubular Inverter Battery White (REMI ILTT26066), Livguard IT1048St 100 Ah Tubular Inverter Battery (Black), Livfast Tubular Inverter Battery Orange (LFDLN1AAR1130FF), Amaze Tubular 700VA Inverter Battery White (F1147R825150 2060TT), Advon 220 Ah Tubular Inverter Battery White (IT-2250), Genus 1000VA 1450 CHALLENGER 12V C Pure Sine Wave Inverter (White), Moseta Ironman Solar Hybrid 1700 VA/150 Ah Inverter, UTL Tubular 5500VA Black (TQ 3548)",,
Motorola Edge 50 Fusion 12 256,"Motorola Edge 50 Fusion 256 GB Storage Forest Green (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Marshmallow Blue (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Forest Blue (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Hot Pink (12 GB RAM), Motorola Edge 50 Fusion 5G 256 GB Storage Forest Green (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Forest Green (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Forest Blue (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Hot Pink (12 GB RAM), Motorola Edge 50 Fusion 256 GB Storage Marshmallow Blue (12 GB RAM), Motorola Edge 70 Fusion 5G 256 GB Storage Country Air (12 GB RAM)",,
My Mobile Loan Emi,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y11 5G 128 GB Storage Midnight Blue (4 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
I Phone 16pro Mix,"iPhone 17 256 GB - White, iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold",,
pikup lens,"SIGMA AF 24-70mm F/2.8 DG DN II (A) / SONY E Mount Lens (Black), FUJIFILM X-A10 Mirrorless Digital Camera With 16-50mm Lens Black(F X-A10S), Nikon D3500 24.2 MP DSLR Camera with AF-P DX Nikkor 18-55 mm F/3.5-5.6G VR Lens (Black), Canon EF-M 55-200mm f4.5-6.3 Lens For Camera (Black), Sony FE 24MM F1.4 GM E-MOUNT LENS Black (SEL24F14GM SYX), Panasonic 45 mm Prime Lens Black (H-ES045E), Samyang AF 85 mm F1.4 Canon EF Auto Focus Standard Lens (Black), Tamron F050SF 20mm F/2.8 Di III OSD M1:2 WideAngle Prime Lens (Black), Olympus Lence 25 mm f1.8 Wide-Angle Zoom Lens (Black), Viltrox AF 35 mm F/1.8 F1.8 E Auto Focus Full Frame Wide Angle Lens (Black)",,
iphone 16pro mix,"iPhone 17 256 GB - White, iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold",,
Tata neu,"Tata Tiago XE CNG (Daytona Grey), Tata Tiago XE CNG (Arizona Blue), Tata Tiago XE CNG (Flame Red), Tata Tiago XE CNG (Opal White), Tata Tiago XE CNG (Midnight Plum), Tata Tiago XM CNG (Daytona Grey), Tata Tiago XM CNG (Arizona Blue), Tata Tiago XM CNG (Flame Red), Tata Tiago XM CNG (Opal White), Tata Tiago XM CNG (Midnight Plum)",,
Wooden Wardrobe,"Home Town Premier Engineered Wood 4 door wardrobe in Walnut Colour, 123 Home Paints 5th Door wardrobe (In Cairo Walnut Finish), Godrej Interio Slimline 2 Door Steel Almirah Wardrobe (SLIM00003) Russet, Furniture Adda Stand Manufactured Wood Single Door Wardrobe White (WRB.122), Apka Interior Suncoo Triple Door Engineered Wood Wardrobe (Frosty White), Home Town Stark Engineered Wood 3 door wardrobe in Walnut Colour, 123 Home Paints 5th Door wardrobe (In Urban Teak Finish), Godrej Interio Storwel M2 Steel Almirah Wardrobe (30161803SD00209) Spring Blue, Apka Interior Stylo Single Door Wardrobe in Engineered Wood (Frosty White), Home Town Ultima Engineered Wood 2 door wardrobe in Walnut Colour",,
Nothing Smartphones,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 256 GB Storage Pink (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Pink (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (12 GB RAM), Nothing Phone (4a) 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) 128 GB Storage White (8 GB RAM)",,
Vivo T4X Smartphones,"vivo T4x 5G Storage 128 GB Marine Blue (6 GB RAM), vivo T4x 5G Storage 128 GB Pronto Purple (6 GB RAM), vivo T4x 5G Storage 128 GB Marine Blue (8 GB RAM) , vivo T4x 5G Storage 128 GB Pronto Purple (8 GB RAM), vivo T4x 5G Storage 256 GB Pronto Purple (8 GB RAM), vivo T4x 5G Storage 256 GB Marine Blue (8 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM)",,
Iphone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Pova Slim 5g Mobile,"Tecno Pova Slim 5G 128 GB Storage Slim White (8 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi Note 15 Pro + 5G 512 GB Storage Coffee Brown (12 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), OPPO F33 5G 128 GB Storage Pearl White (6 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17 Ultra 5G 512 GB Storage Black (16 GB RAM), Motorola Edge 70 Fusion 5G 128 GB Storage Country Air (8 GB RAM), Mi 11 Lite NE 5G 128 GB Storage Tuscany Coral (6 GB RAM)",,
Apple Iphone 17 Smartphones,"iPhone 17 256 GB - Sage, iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender",,
Vivo 5g Phon,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
Realme Earbuds,"Apple AirPods Pro 3 Wireless Earbuds Active Noise Cancellation (White), Bose SoundSport Free wireless Earbuds (Black), Sony True Wireless Bluetooth Earbuds Black (WF-H800/BM IN), LG Mono Channel True Wireless Bluetooth Earbuds Black (HBS-FP9), JBL Wireless Bluetooth Earbuds Black (LIVE PRO 2), Samsung Wireless Bluetooth Earbuds Bora Purple (BUDS2 PRO), OnePlus Wireless Bluetooth Earbuds Green (BUDS PRO2), Marshall Wireless Bluetooth Earbuds Black (MINOR IV), Philips SHB2515BK/00 Bluetooth In The Ear (Black), Moto Bluetooth Motorola Verve 500 True Wireless Ear Buds (Black)",,
Haier AC,"Haier 1 Ton 3 Star Inverter Split AC White (HSU-12NSS3A-DCINV), Haier 1.5 Ton 3 Star Inverter Split AC White (HSU-18NRG3A-DCINV), Haier 1.5 Ton 3 Star Inverter Split AC White (HSU-19FW3-DCINV), Haier 1.5 Ton 3 Star Split AC White (HSU-19TCS3CN), Haier 1.5 Ton 3 Star Split AC White (HSU-19JW3-DCINV), Haier 1 Ton 3 Star Inverter Split AC White (HSU-12DW3-DCINV), Haier 1.5 Ton 3 Star Split AC White (HSU-18NCS3A-DCINV), Haier 2 Ton 5 Star Tower AC Black (Copper Condenser, HPU-24HC5), Haier 1 Ton 3 Star Inverter Split AC White (HSU12C-TCB3B-INV), Haier 1 Ton 3 Star Inverter Split AC White (HSU12C-TFW3B)",,
I phone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
I phone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
Vivo waterproof mobile,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
iphone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
iphone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
Sumsang Ultara,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
samsung ultra,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
vivo 5g phone,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
iphone 12,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Iphone 15,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
Iqoo Neo 10,"iQOO Neo 10 5G 128 GB Storage Titanium Chrome (8 GB RAM), iQOO Neo 10 5G 128 GB Storage Inferno Red (8 GB RAM), iQOO Neo 10 5G 256 GB Storage Titanium Chrome (12 GB RAM), iQOO Neo 10 5G 256 GB Storage Inferno Red (12 GB RAM), iQOO Neo 10 5G 512 GB Storage Titanium Chrome (16 GB RAM), iQOO Neo 10 5G 512 GB Storage Inferno Red (16 GB RAM), IQOO Neo 6 5G 128 GB Storage Dark Nova (8 GB RAM), iQOO Neo 6 5G 128 GB Storage Cyber Rage (8 GB RAM), iQOO Neo 6 5G 256 GB Storage Dark Nova (12 GB RAM), iQOO NEO 7 PRO 5G 256 GB Storage Dark Storm (12 GB RAM)",,
Leptops,"DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), Asus AMD Ryzen 7 16 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Graphite Black, FA506NCG-HN200WS), MacBook Neo A18 Pro Chip 8 GB RAM 256 GB SSD 13 inch Citrus, Acer AMD Ryzen7 512 GB 16 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Silver (UN35MSI00D), Lenovo LOQ 7 AMD Ryzen 7 24 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Luna Grey, 83JC00JYIN), MSI Intel Core i5/ 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Classic Black, Modern 15 B13M-1200IN), HP Intel Core i3 512 GB 8 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Natural Silver (15-fd0489TU # B6MC8PA), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2)",,
Nothing Smartphones,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 5G 128 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (8 GB RAM), Nothing Phone (4a) Pro 256 GB Storage Pink (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (8 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Black (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Pink (12 GB RAM), Nothing Phone (4a) Pro 5G 256 GB Storage Silver (12 GB RAM), Nothing Phone (4a) 128 GB Storage Black (8 GB RAM), Nothing Phone (4a) 128 GB Storage White (8 GB RAM)",,
sound system home theatre long,"Sony Bravia Theatre Quad (HT-A9M2) Premium Soundbar System with 360 SSM, Wireless Multi Dimensional Surround Sound (Grey), LG Home Audio System With Bluetooth Technology Black (SK10Y), Fenda 5.1 Channel Home Theatre System with Bluetooth Technology Black (SFDF6000X), Impex 2.1 Channel 100 W Home Theater System Black (BRAVO), Samsung 5.1 Channel Sub Woofer Home Theatre System (HW-Q60R), Panasonic Home Audio System with Bluetooth Technology Black (SC-TMAX10GWK), T-Series Home Audio System with Bluetooth Technology Black (TYCOON 88), Philips Home Audio System with Bluetooth Technology Black (MMS2220B), JBL Home Audio System with Bluetooth Technology Black (Bar 2.1 Deep Bass), Harman Home Audio System with Bluetooth Technology Black (Fly ANC)",,
I phone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
My Phone Statement,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y11 5G 128 GB Storage Midnight Blue (4 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM)",,
baby jeeps toys cars,"Jeep Grand Cherokee Limited (O) 4x4 8AT (Bright White), Jeep Grand Cherokee Limited (O) 4x4 8AT (Diamond Black Crystal), Jeep Grand Cherokee Limited (O) 4x4 8AT (Rocky Mountain), Jeep Grand Cherokee Limited (O) 4x4 8AT (Velvet Red), Jeep Wrangler Rubicon (Sarge Green), Jeep Wrangler Rubicon (Bright White), Jeep Wrangler Rubicon (Black), Jeep Wrangler Rubicon (Granite Crystal), Jeep Wrangler Rubicon (Firecracker Red), Jeep Meridian Overland 9AT 4x4 2.0D (Pearl White)",,
Tv,"Samsung 108 cm (43 inch) Ultra HD (4K) Smart LED TV Black (UA43U8100FULXL), LG 165 cm (65 inch) (4K) Ultra HD LED Smart TV Black (65UM7300PTA), Sony 164 cm (65 inch) 4K Ultra HD Smart LED Google TV Black (K-65S25), Haier 109.22 cm (43 inch) Full HD Smart TV Silver (LE43F9000AP), Xiaomi 139 cm (55 inch) 4K UHD Smart LED TV Black (X Pro 55), Panasonic 81.28 cm (32 inch) HD Ready TV Black (TH-32F201DX), TCL 165 cm (65 inch) 4k Smart QLED TV Black (65P71K), Croma 81.28 (32 inch) HD Ready Smart LED TV Black (CREL032HGL024650), Acer Frameless 80 cm (32 inch) HD Smart LED Android TV Black (LED 32 (SMART FRAMELESS)), Hisense 80 cm (32 inch) FHD Smart LED TV Black (32E4Q)",,
baby jeep toys cars,"Jeep Grand Cherokee Limited (O) 4x4 8AT (Bright White), Jeep Grand Cherokee Limited (O) 4x4 8AT (Diamond Black Crystal), Jeep Grand Cherokee Limited (O) 4x4 8AT (Rocky Mountain), Jeep Grand Cherokee Limited (O) 4x4 8AT (Velvet Red), Jeep Wrangler Rubicon (Sarge Green), Jeep Wrangler Rubicon (Bright White), Jeep Wrangler Rubicon (Black), Jeep Wrangler Rubicon (Granite Crystal), Jeep Wrangler Rubicon (Firecracker Red), Jeep Meridian Overland 9AT 4x4 2.0D (Pearl White)",,
iphone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
Iphone Emi,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Vivo 70,"vivo Y21 5G 128 GB Storage Midnight Blue (6 GB RAM), vivo Y21 5G 128 GB Storage Champagne Gold (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Iphone 15,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
I Qube Tvs Bike,"TVS XL100 Heavy Duty i-Touch Start (Black), TVS XL100 Heavy Duty i-Touch Start (Blue), TVS XL100 Heavy Duty i-Touch Start (Green), TVS XL100 Heavy Duty i-touch start (Mineral Purple), TVS XL100 Heavy Duty i-touch start (Red), TVS XL100 Comfort i-Touch Start (Coral Silk), TVS XL100 Comfort i-Touch Start (Mint Blue), TVS XL100 Comfort i-Touch Start (Sparkling Silver), TVS XL100 Comfort i-Touch Start (Luster Gold), TVS XL100 Heavy Duty i-touch start Win Edition (Beaver Brown)",,
Honda Electric Scooter,"Honda Activa e RoadSync Duo (Pearl Shallow Blue), Honda Activa e RoadSync Duo (Pearl Shallow Blue), Honda Activa e RoadSync Duo (Pearl Misty White), Honda Activa e RoadSync Duo (Pearl Misty White), Honda Activa e RoadSync Duo (Pearl Serenity Blue), Honda Activa e RoadSync Duo (Pearl Serenity Blue), Honda Activa e RoadSync Duo (Matt Foggy Silver Metallic), Honda Activa e RoadSync Duo (Matt Foggy Silver Metallic), Honda Activa e RoadSync Duo (Pearl Igneous Black), Honda Activa e RoadSync Duo (Pearl Igneous Black)",,
Google Pixel Smartphones,"Google Pixel 10a 5G 256 Storage Berry (8 GB RAM), Google Pixel 10a 5G 256 Storage Obsidian (8 GB RAM), Google Pixel 10a 5G 256 Storage Lavender (8 GB RAM), Google Pixel 10a 5G 256 Storage Fog (8 GB RAM), Google Pixel 10 Pro Fold 256 GB Storage Moonstone (16 GB RAM), Google Pixel 10 5G 256 GB Storage Frost (12 GB RAM), Google Pixel 10 5G 256 GB Storage Lemongrass (12 GB RAM), Google Pixel 10 5G 256 GB Storage Obsidian (12 GB RAM), Google Pixel 10 5G 256 GB Storage Indigo (12 GB RAM), Google Pixel 10 5G Pro 256 GB Storage Procelain (12 GB RAM)",,
Infinix Note Smartphones,"Infinix Note 60 Pro 128 GB Storage Solar Orange (8 GB RAM), Infinix Note 60 Pro 128 GB Storage Mocha Brown (8 GB RAM), Infinix Note 60 Pro 128 GB Storage Deocean Blue (8 GB RAM), Infinix Note 60 Pro 256 GB Storage Mocha Brown (8 GB RAM), Infinix Note 60 Pro 256 GB Storage Solar Orange (8 GB RAM), Infinix Note Edge 5G 128 GB Storage Blue (6 GB RAM), Infinix Note Edge 5G 128 GB Storage Green (6 GB RAM), Infinix Note Edge 5G 128 GB Storage Lun Titanium (6 GB RAM), Infinix Note Edge 5G 128 GB Storage Blue (8 GB RAM), Infinix Note Edge 5G 128 GB Storage Green (8 GB RAM)",,
Swaraj Tractor Price744,"Swaraj 717 (Blue), Swaraj 825 XM (Blue), Swaraj 724 XM ORCHARD (Blue), Swaraj 724 XM (Red), Swaraj 724 XM ORCHARD NT (Blue), Swaraj 834 XM (Blue), Swaraj 841 XM (Red), Swaraj 735 FE (Blue), Swaraj 735 XT (Blue), Swaraj 742 XT (Blue)",,
Cellecor Tv Qled 43 Inch,"Cellecor 109 cm (43 inch) FHD Smart QLED TV Black (CE43U PRO), Cellecor 109 cm (43 inch) FHD Smart LED TV Black (Cellecor TV CE 43 U Pro Qled LFR), Cellecor 108 cm (43 inch) FHD LED Smart TV Black (CELLECOR 43CS), Cellecor 108 cm (43 inch) Full HD LED Smart Android TV With Voice Remote, Cellecor 108 cm (43 inch) Full HD LED Smart Android TV With Voice Remote (E43P), Cellecor 108 cm (43 inch) Full HD LED Smart TV Black (S-43 4K), CELLECOR 108 cm (43 inch) FHD Smart LED TV Black (CELLECOR I-43M), Cellecor 108 cm (43 inch) Full HD Smart webOS 243TV Black (CELLECOR SMART LED TV E-43MT), Cellecor 109.22 cm (43 inch) Ultra HD (4K) Smart LED TV Black (CE 43 U GTV), Cellecor 165 cm (65 inch) 4K UHD Smart QLED TV Black (CE 65 U GTV)",,
